1.png,2.png,3.png,4.png,5.png,6.png,7.png,8.png,9.png
0.5023,	0.8201,	0.7218,	0.5690,	0.8389,	0.6387,	0.8000,	0.6935,	0.5267,
0.3354,	0.6950,	0.5647,	0.3977,	0.7225,	0.4692,	0.6667,	0.5309,	0.3575,
7.0711,	3.1623,	3.1623,	5.3852,	3.6056,	5.8310,	5.6569,	4.2426,	6.0828,
1.2991,	0.9942,	1.3995,	1.5810,	0.9199,	1.4406,	1.5549,	0.8649,	1.5156,
0.6875,	0.7967,	0.9897,	0.8608,	0.9124,	0.9242,	0.8452,	0.7963,	0.8205,
0.3957,	0.8448,	0.5680,	0.4250,	0.7764,	0.4880,	0.7594,	0.6143,	0.3879,

