157.jpg,150.jpg,162.jpg,104.jpg,100.jpg,1.jpg,116.jpg,128.jpg,159.jpg
0.5869, 	0.5674, 	0.5596, 	0.5480, 	0.5147, 	0.5096, 	0.5089, 	0.5049, 	0.4937
0.4153, 	0.3961, 	0.3885, 	0.3774, 	0.3465, 	0.3419, 	0.3413, 	0.3377, 	0.3277
29.6985, 	27.5862, 	26.8701, 	31.1448, 	29.0000, 	30.4138, 	29.6816, 	33.8379, 	26.9258
7.2126, 	6.6733, 	6.8973, 	8.1202, 	7.5401, 	7.4826, 	7.5958, 	8.0079, 	7.1460
0.4920, 	0.4673, 	0.4679, 	0.4743, 	0.4077, 	0.4027, 	0.3856, 	0.3753, 	0.4008
0.7272, 	0.7220, 	0.6959, 	0.6487, 	0.6977, 	0.6936, 	0.7480, 	0.7713, 	0.6426
