161.jpg,150.jpg,162.jpg,104.jpg,119.jpg,157.jpg,120.jpg,112.jpg,159.jpg
0.7780, 	0.7550, 	0.7526, 	0.7464, 	0.7460, 	0.7407, 	0.7298, 	0.7271, 	0.7268,
0.6367, 	0.6064, 	0.6033, 	0.5954, 	0.5950, 	0.5882, 	0.5745, 	0.5712, 	0.5708,
24.6982, 	13.0000, 	27.0000, 	14.7648, 	17.0000, 	20.0000, 	15.1327, 	21.0000, 	19.6469,
3.0724, 	4.2444, 	4.1140, 	4.0105, 	4.2914, 	4.4445, 	4.5494, 	5.5257, 	3.6569,
0.6590, 	0.6237, 	0.6070, 	0.6203, 	0.6230, 	0.5949, 	0.5763, 	0.5880, 	0.5970,
0.9494, 	0.9563, 	0.9898, 	0.9369, 	0.9297, 	0.9813, 	0.9946, 	0.9524, 	0.9286,
