221.png,130.png,114.png,163.png,126.png,133.png,124.png,308.png,242.png,
0.6853,	0.6065,	0.5673,	0.5263,	0.5226,	0.4952,	0.4869,	0.4781,	0.4665,
0.5212,	0.4352,	0.3960,	0.3571,	0.3538,	0.3291,	0.3218,	0.3142,	0.3042,
11.6619,	12.1655,	5.0000,	11.4018,	9.4340,	5.8310,	5.6569,	6.7082,	6.0828,
3.7026,	1.8764,	2.2411,	3.1051,	2.1601,	1.9394,	2.4376,	1.9305,	1.8358,
0.5811,	0.5912,	0.6387,	0.5068,	0.4870,	0.5066,	0.4643,	0.5325,	0.5634,
0.8350,	0.6225,	0.5103,	0.5474,	0.5639,	0.4843,	0.5118,	0.4339,	0.3980,
